,fileNameAsDelivered,scientificName,MCQ_Prompt
0,American_Crow_0053_25203.jpg,Corvus brachyrhynchos,"What is scientific name of Bird in the image?

Options: A)Leiothlypis ruficapilla, B)Corvus brachyrhynchos, C)Icterus galbula, D)Geothlypis formosa.

Write the answer after writing ""The answer is:"""
1,American_Crow_0101_25118.jpg,Corvus brachyrhynchos,"What is scientific name of Bird in the image?

Options: A)Corvus brachyrhynchos, B)Geothlypis philadelphia, C)Passerina caerulea, D)Larus argentatus.

Write the answer after writing ""The answer is:"""
2,Fish_Crow_0058_25999.jpg,Corvus ossifragus,"What is scientific name of Bird in the image?

Options: A)Corvus ossifragus, B)Zonotrichia albicollis, C)Passerina caerulea, D)Setophaga cerulea.

Write the answer after writing ""The answer is:"""
3,Fish_Crow_0024_26064.jpg,Corvus ossifragus,"What is scientific name of Bird in the image?

Options: A)Leiothlypis celata, B)Icterus galbula, C)Corvus ossifragus, D)Vireo atricapilla.

Write the answer after writing ""The answer is:"""
4,Fish_Crow_0023_26037.jpg,Corvus ossifragus,"What is scientific name of Bird in the image?

Options: A)Setophaga magnolia, B)Vireo atricapilla, C)Corvus ossifragus, D)Icterus cucullatus.

Write the answer after writing ""The answer is:"""
5,Common_Raven_0095_101831.jpg,Corvus corax,"What is scientific name of Bird in the image?

Options: A)Setophaga tigrina, B)Corvus corax, C)Larus californicus, D)Geothlypis trichas.

Write the answer after writing ""The answer is:"""
6,White_Necked_Raven_0006_797347.jpg,Corvus albicollis,"What is scientific name of Bird in the image?

Options: A)Vireo olivaceus, B)Leiothlypis peregrina, C)Passerina cyanea, D)Corvus albicollis.

Write the answer after writing ""The answer is:"""
7,Fish_Crow_0083_25949.jpg,Corvus ossifragus,"What is scientific name of Bird in the image?

Options: A)Passerina cyanea, B)Icterus galbula, C)Larus occidentalis, D)Corvus ossifragus.

Write the answer after writing ""The answer is:"""
8,American_Crow_0111_25127.jpg,Corvus brachyrhynchos,"What is scientific name of Bird in the image?

Options: A)Icterus cucullatus, B)Passerina amoena, C)Spizella breweri, D)Corvus brachyrhynchos.

Write the answer after writing ""The answer is:"""
9,Common_Raven_0091_101524.jpg,Corvus corax,"What is scientific name of Bird in the image?

Options: A)Vireo philadelphicus, B)Leiothlypis celata, C)Corvus corax, D)Spizella breweri.

Write the answer after writing ""The answer is:"""
10,American_Crow_0031_25433.jpg,Corvus brachyrhynchos,"What is scientific name of Bird in the image?

Options: A)Corvus brachyrhynchos, B)Zonotrichia albicollis, C)Icterus parisorum, D)Spizella pallida.

Write the answer after writing ""The answer is:"""
11,White_Necked_Raven_0065_797354.jpg,Corvus albicollis,"What is scientific name of Bird in the image?

Options: A)Zonotrichia querula, B)Spizella passerina, C)Corvus albicollis, D)Larus heermanni.

Write the answer after writing ""The answer is:"""
